SCREEN[0] frame=(0.0, 0.0, 1728.0, 1117.0) visible=(0.0, 0.0, 1728.0, 1084.0) scale=2.0
SCREEN[1] frame=(-108.0, 1117.0, 1920.0, 1080.0) visible=(-108.0, 1117.0, 1920.0, 1050.0) scale=1.0
# écran AppKit (-108.00,1117.00 1920.00x1080.00)  CG (-108.00,-1080.00 1920.00x1080.00)  visible (-108.00,1117.00 1920.00x1050.00)  scale 1.0
# réserve basse (Dock) = visibleFrame.minY - frame.minY = 0.00 pt
# source d'origine : com.apple.keylayout.French
S-gauche-12	font=13.0	caretCG=(-96.80,-556.00 0.00x16.00)	hud=(-133.00,-563.00 84.00x77.00)	caps=(-105.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=5.80	dxLeft=5.80	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-gauche-8	font=13.0	caretCG=(-100.80,-556.00 0.00x16.00)	hud=(-133.00,-563.00 84.00x77.00)	caps=(-105.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=9.80	dxLeft=9.80	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-gauche-4	font=13.0	caretCG=(-104.80,-556.00 0.00x16.00)	hud=(-133.00,-563.00 84.00x77.00)	caps=(-105.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=13.80	dxLeft=13.80	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-gauche-0	font=13.0	caretCG=(-108.80,-556.00 0.00x16.00)	hud=(-133.00,-563.00 84.00x77.00)	caps=(-105.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=17.80	dxLeft=17.80	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-60	font=13.0	caretCG=(851.20,-76.00 0.00x16.00)	hud=(809.00,-83.00 84.00x77.00)	caps=(836.50,-55.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-50	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-44	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-40	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-36	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-34	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-32	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-30	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-29	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-28	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
K-bas-27	font=13.0	caretCG=(851.20,-66.00 0.00x16.00)	hud=(809.00,-73.00 84.00x77.00)	caps=(836.50,-45.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
